Product Name,Image 1 Link,Image 2 Link,Product Description,Original Price,After Sale,Product Details
Nescafe 3In1 Strong Coffee Mix Stick 20g (30 Sticks),https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/119.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/12.png,"Nescafé Strong Coffee Stick Sticks provide a bold and intense coffee experience for those who crave a rich flavor. These instant coffee sticks are perfect for quick preparation, allowing you to enjoy a strong cup of coffee anytime, anywhere. Just add hot water, stir, and savor the robust taste of Nescafé's high-quality coffee.
",53.09,,"Brand: Nescafe
Product Name: 3-in-1 Strong Coffee Mix
Packaging: Stick Packs
Net Weight: 20g per stick (30 sticks per box)
Ingredients: Instant coffee, sugar, non-dairy creamer.
Flavor Profile:
Strong coffee flavor balanced with sweetness and creaminess.
Convenient for those who prefer a bolder taste.
Preparation Method:
Empty one stick into a cup.
Add hot water (about 150 ml) and stir well. Enjoy your coffee!
Convenience:
Individually packed sticks make it easy to carry and prepare coffee on-the-go.
Ideal for home, office, or travel."
"Nescafe Gold Roastery Light Roast Coffee tin?, 95g",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/120.jpg,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/120.png,"Nescafe Roastery Light Roast Coffee offers a smooth and balanced flavor profile, making it a delightful choice for those who prefer a milder coffee experience. This blend is crafted from high-quality beans, roasted to bring out the natural flavors while maintaining a light body.
",35.4,30.25,"Brand: Nescafe
Product Name: Roastery Light Roast Coffee
Type: Ground Coffee
Net Weight: 200 g
Flavor Profile:
Taste: Light, smooth, and well-balanced with subtle nutty and floral notes.
Aroma: Fresh and inviting with hints of sweetness.
Roast Level: Light roast, designed to preserve the unique characteristics of the coffee beans.
Brewing Methods: Suitable for various brewing methods, including drip coffee makers, French press, and pour-over.
Ingredients: 100% pure coffee.
Packaging: Resealable pouch to maintain freshness and flavor."
"Hills Bros Original Blend Medium Roast, 320g",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/121.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/122.png,"Hills Bros Original Blend Medium Roast Coffee is crafted from high-quality coffee beans, offering a balanced flavor profile that is smooth and rich. Ideal for coffee enthusiasts who enjoy a classic medium roast with just the right amount of body.
",39.0,,"Features:
Medium Roast: This blend strikes the perfect balance between robust flavor and smoothness, making it suitable for various brewing methods.
Versatile Brewing: Perfect for drip coffee makers, French presses, or pour-over techniques.
Freshness Guaranteed: Packaged to preserve flavor and aroma, ensuring a fresh cup every time.
Sustainable Sourcing: Hills Bros is committed to sourcing beans responsibly, promoting environmental sustainability.

Brewing Instructions:
Measure: Use one tablespoon of coffee grounds per 6 oz of water, adjusting to taste.
Brew: Brew using your preferred method until the desired strength is achieved.
Serve: Enjoy black or customize with milk, cream, or sweeteners as preferred.

Storage:
Store in a cool, dry place in an airtight container to maintain freshness. For optimal flavor, use within two weeks after opening.
"
"Maxwell House Original Roast Coffee, 326g",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/123.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/124.png,"Enjoy the classic, smooth taste of Maxwell House Original Roast. Made from high-quality coffee beans, this medium roast delivers a balanced flavor that’s perfect for any time of day. The 326g resealable canister ensures long-lasting freshness, making it ideal for everyday coffee lovers seeking a consistently satisfying cup.",35.0,28.0,"Product Type: Ground Coffee
Size: 326g
Flavor Profile: This coffee offers a classic medium roast with a rich and smooth taste, perfect for everyday enjoyment. The blend is designed to deliver a consistently delicious flavor cup after cup.
Aroma: It has a robust aroma that invites you to experience its rich taste, making it an excellent choice for starting your day.
Brewing Recommendation: Ideal for drip coffee makers, French press, or pour-over methods, providing a versatile option for coffee lovers.
Packaging: Comes in a resealable canister that helps to maintain freshness and flavor over time. The canister design is convenient for storage and easy to pour.
Serving Suggestions: Perfect for enjoying black or with cream and sugar. It also works well for creating delicious coffee-based beverages like lattes or iced coffee.
Origin: Made with high-quality coffee beans sourced from the best coffee-growing regions, ensuring a satisfying coffee experience."
"MAXWELL House smooth blend, Instant coffee, Jar of 95g, Pack of 1",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/125.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/126.png,"Experience the rich, smooth flavor of Maxwell House Instant Coffee. This 95g jar is filled with expertly blended coffee that delivers a consistent taste you can enjoy anytime. Perfect for those who appreciate a quick and convenient coffee solution, each serving offers a delightful cup without the wait. Elevate your coffee moments with Maxwell House, where quality meets convenience",33.95,,"Brand: Maxwell House
Product Type: Instant Coffee
Size: 95g
Flavor Profile: This instant coffee delivers a smooth and mild flavor, perfect for those who prefer a less intense coffee experience. It offers a balanced taste that can be enjoyed at any time of the day.
Aroma: A pleasant aroma that complements its smooth taste, making it a delightful choice for quick coffee fixes.
Preparation: Designed for easy and quick preparation—just add hot water for a delicious cup of coffee in seconds. It’s an ideal option for busy mornings or when you need a quick caffeine boost.
Serving Suggestions: Can be enjoyed black or with milk and sugar, and is versatile enough for creating various coffee drinks, including instant coffee lattes or iced coffees.
Packaging: Comes in a convenient jar that keeps the coffee fresh and makes it easy to scoop the desired amount. The jar design allows for easy storage and prevents moisture from affecting the coffee.
Use Cases: Perfect for home, office, or travel. Its lightweight packaging makes it a great choice for on-the-go coffee lovers."
MAXWELL HOUSE COFFEE RICH 95 GM,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/127.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/128.png,"Maxwell House Coffee - Rich is a premium ground coffee known for its full-bodied flavor and aromatic blend. This coffee is crafted to deliver a rich and smooth taste that is perfect for daily enjoyment. It offers a balanced and consistent flavor, making it an excellent choice for coffee lovers.
",28.0,14.95,"Brand: Maxwell House
Product Name: Coffee Rich
Packaging: Jar
Net Weight: 95g
Flavor Profile:
Smooth and rich with a full-bodied taste.
Well-balanced and aromatic, providing a satisfying coffee experience.
Ingredients: Instant coffee.
Preparation Method:
Use 1-2 teaspoons of coffee per cup, depending on your taste preference.
Add hot water (about 150-200 ml) and stir until dissolved. Enjoy your coffee black or with milk and sugar, according to your preference.
Convenience:
Instant coffee for quick preparation.
Suitable for home, office, or travel."
"Flogers Coffee House Blend Medium Dark Roast Ground Coffee, 306 g - Pack of 1",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/129.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/13.png,"Folgers Coffee House - Medium Ground is a rich and flavorful coffee designed for those who appreciate a well-balanced cup. This medium roast coffee provides a smooth and satisfying taste, making it an ideal choice for morning rituals or any time of day.
",35.75,,"100% Pure Coffee

Flavor Profile:
Type: Ground Coffee
Taste: Smooth and well-rounded with a medium intensity
Roast Level: Medium"
"Folgers Classic Roast Coffee, 9.6 oz",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/130.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/131.png,"Folgers Classic Roast Coffee is a beloved blend known for its rich and smooth flavor. This medium roast coffee is a staple for coffee lovers who enjoy a classic taste that’s both satisfying and comforting.
",36.09,,"100% Pure Coffee

Flavor Profile:
Type: Ground Coffee
Taste: Rich, smooth, and well-balanced with a classic flavor
Roast Level: Medium"
"Flogers 1850 Pioneer Blend Medium Roast Ground Coffee, 340 g - Pack of 1",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/132.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/133.png,"Folgers Pioneer Medium Ground Coffee is a delightful blend crafted for those who appreciate a well-rounded coffee experience. Known for its balanced flavor and rich aroma, this medium roast coffee is perfect for any time of day.
",43.35,,"100% Pure Coffee

Flavor Profile:
Type: Ground Coffee
Taste: Smooth and rich with a classic flavor
Roast Level: Medium
Packaging:
Designed for easy handling and storage, ensuring freshness and flavor retention."
Drip on Roasted Specialty Coffee Beans - Whole Beans 250 g - Colombia,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/134.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/135.png,"Drip Roasted Specialty Coffee Beans are carefully selected to deliver a premium coffee experience. These beans are specially roasted for drip brewing methods, ensuring a balanced flavor profile with rich aromas that awaken the senses.
",45.0,,"100% Specialty Coffee Beans

Flavor Profile:
Type: Whole Coffee Beans
Taste: Rich and smooth with hints of chocolate and nuts
Roast Level: Medium

Brewing Recommendations:
Ideal for drip coffee makers, pour-over, or French press methods.

Packaging:
Packed in a resealable bag to preserve freshness and flavor."
Drip on Specialty Coffee Roasted Beans - Whole Beans 250 g - Ethiopia,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/136.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/137.png,"Drip Specialty Coffee Roasted Beans are premium coffee beans roasted to perfection for optimal flavor extraction. Designed specifically for drip brewing, these beans deliver a rich and aromatic coffee experience.
",57.48,51.2,"100% Arabica Specialty Coffee Beans

Flavor Profile:
Type: Whole Coffee Beans
Taste: Smooth with floral notes and a hint of sweetness
Roast Level: Medium Roast

Brewing Recommendations:
Best suited for drip coffee makers, pour-over, or cold brew methods.

Packaging:
Packaged in a resealable bag to maintain freshness and quality."
"illy Filter Coffee, 250 gms",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/138.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/139.png,"Discover the rich, smooth taste of illy Filter Coffee, made from 100% Arabica beans for a premium coffee experience. This 250g tin is designed to preserve freshness, delivering a perfectly balanced flavor with every brew. Ideal for those who appreciate a refined, aromatic cup of coffee at home.",50.26,43.35,"Product Type: Filter Coffee
Weight: 250 grams (approximately 8.8 ounces).
Roast Level: Medium roast, offering a harmonious blend of flavor and aroma.
Coffee Origin: Sourced from high-quality Arabica beans from various regions known for their unique characteristics and superior quality.
Flavor Profile: A rich and aromatic coffee with subtle notes of chocolate and caramel, complemented by a pleasant floral aroma. Ideal for those who enjoy a smooth and refined coffee experience.
Brewing Method: Specifically designed for filter coffee machines; perfect for drip coffee makers and pour-over methods.
Packaging: Comes in a sealed vacuum pack to ensure freshness and preserve the rich flavors and aromas of the coffee beans.
Storage: To maintain quality, store in a cool, dry place away from light and moisture. Once opened, it's best consumed within a few weeks.
Sustainability Commitment: Illy is dedicated to sustainable sourcing, ensuring ethical practices in coffee production while supporting farmers and their communities."
"illy Coffee Beans - Medium Roast, 250 gms",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/14.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/140.png,"Illy Coffee Beans Medium Roast offers a balanced blend with a rich flavor and fragrant aroma. Known for its smoothness, this coffee is made from the finest Arabica beans, providing a full-bodied experience. Perfect for espresso or brewing methods, Illy coffee is a favorite among coffee enthusiasts.
",52.0,,"Product Type: Coffee Beans
Roast Level: Medium Roast, offering a balanced flavor with a hint of sweetness.
Weight: 250 grams (approximately 8.8 ounces).
Origin: Made from a selection of high-quality Arabica beans, sourced from various regions known for their unique coffee characteristics.
Flavor Profile: Delivers a smooth, well-rounded taste with notes of chocolate and caramel, accompanied by a subtle floral aroma.
Preparation: Ideal for various brewing methods, including espresso machines, drip coffee makers, and French presses. Freshly grind the beans just before brewing to enhance flavor.
Packaging: Sealed in a vacuum-packed tin to maintain freshness and aroma, ensuring that every cup tastes as good as the first.
Storage: Best stored in a cool, dry place away from direct sunlight to preserve the quality of the beans.
Sustainability: Illy is committed to sustainable sourcing and ethical practices in coffee production, ensuring fair treatment of farmers and environmentally-friendly practices."
"illy Coffee Beans - Colombia Single Origin, 250 gms",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/141.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/142.png,"Illy Coffee Beans Colombia Single offers a unique and flavorful coffee experience sourced from the renowned Colombian coffee-growing region. Known for its balanced flavor profile, this coffee features notes of caramel and a slight sweetness, making it ideal for espresso and other brewing methods.
",50.25,,"100% Arabica Coffee Beans from Colombia

Flavor Profile:
Notes: Caramel and slight sweetness
Acidity: Bright and pleasant
Body: Medium, smooth"
"Illy Iperespresso Dark Roast Coffee Capsule, 140.7g",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/143.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/144.png,"Illy Iperespresso Coffee Capsules provide a premium coffee experience with the convenience of single-serve brewing. Each capsule contains high-quality 100% Arabica coffee, ensuring a rich, aromatic, and creamy espresso with every cup. The innovative Iperespresso technology allows for optimal extraction, delivering a consistently flavorful coffee.
",71.85,,"100% Arabica Coffee

Flavor Profile:
Type: Espresso
Notes: Rich and aromatic with a smooth finish
Intensity: Medium to strong"
"illy Classico Espresso Blend Coffee Capsules, 57 g - Pack of 1",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/145.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/146.png,"Classico Espresso Blend Coffee Capsules offer a balanced blend of high-quality coffee designed for espresso lovers. The capsules contain a rich mix of Arabica and Robusta beans, delivering a bold, full-bodied flavor with a velvety crema. Each capsule is crafted for optimal extraction, ensuring a consistently delicious cup of espresso.
",74.0,,"Arabica and Robusta Coffee

Flavor Profile:
Type: Espresso
Notes: Bold and rich with a smooth finish
Intensity: Strong"
"illy Coffee Machine Capsules - Medium Roast, Lungo, 21 Cap",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/147.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/148.png,"illy Coffee Machine Capsules are designed for use with illy coffee machines, offering a convenient way to enjoy high-quality coffee at home. These capsules contain a blend of 100% Arabica beans, providing a smooth and rich flavor profile. The medium roast capsules deliver a well-balanced taste with floral and fruity notes, ideal for coffee enthusiasts who appreciate a milder cup.
",69.43,,"100% Arabica Coffee

Flavor Profile:
Type: Medium Roast
Notes: Floral and fruity with a smooth finish
Intensity: Medium"
Baja Instant Coffee Black Classic 200 g,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/149.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/15.png,"Savor the bold and rich flavor of Baja Instant Coffee Black Classic. Made from high-quality coffee beans, this instant blend offers a smooth and robust taste in every cup. The 200g jar is perfect for quick preparation at home, work, or on the go, delivering convenience without compromising on flavor. Enjoy the classic taste of black coffee, ready in an instant.",20.38,,"Brand: Baja
Product Name: Instant Coffee Black Classic
Packaging: Resealable jar
Net Weight: 200g
Flavor Profile:
Rich and bold flavor typical of black coffee.
Smooth and well-rounded taste with no added sugar or cream.
Ingredients: 100% pure instant coffee.
Preparation Method:
Mix 1-2 teaspoons with hot water (adjust to taste).
Stir until dissolved, and enjoy your coffee instantly.
Caffeine Content: Provides a caffeine boost similar to brewed coffee, depending on the serving size."
Baja Coffee Gold Robusta 200 g,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/150.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/151.png,"Enjoy the rich and bold taste of Baja Coffee Gold, crafted from premium Robusta beans. This 200g jar delivers a full-bodied flavor, perfect for coffee lovers who appreciate a strong, aromatic brew. Easy to prepare and ideal for any time of day, Baja Coffee Gold provides a satisfying coffee experience with every cup.",19.95,,"Brand: Baja
Product Name: Gold Robusta
Packaging: Resealable bag
Net Weight: 200g
Flavor Profile:
Intense and rich robusta flavor.
Earthy notes with a smooth finish.
Ingredients: 100% Robusta coffee beans.
Preparation Method:
Brew using your preferred method (French press, drip, espresso).
Adjust the coffee-to-water ratio to taste for a stronger or milder cup.
Origin: Sourced from premium robusta plantations.
Caffeine Content: Generally higher in robusta than arabica, making it a great choice for a morning boost."
